{x=97,m=3034,a=520,s=1230}
{x=48,m=2597,a=1043,s=2427}
{x=520,m=825,a=547,s=205}
{x=90,m=1232,a=115,s=882}
{x=1532,m=1668,a=2430,s=2369}
{x=2095,m=753,a=347,s=1636}
{x=15,m=3389,a=126,s=2070}
{x=793,m=1658,a=310,s=2364}
{x=959,m=1660,a=1185,s=681}
{x=1109,m=1979,a=109,s=336}
{x=415,m=424,a=1721,s=270}
{x=323,m=1374,a=905,s=1917}
{x=1450,m=1674,a=3109,s=2981}
{x=205,m=89,a=1825,s=443}
{x=92,m=70,a=712,s=655}
{x=209,m=1050,a=320,s=1643}
{x=488,m=834,a=1222,s=520}
{x=32,m=746,a=577,s=133}
{x=1206,m=740,a=223,s=1454}
{x=109,m=978,a=3025,s=222}
{x=149,m=1568,a=186,s=367}
{x=49,m=680,a=375,s=113}
{x=1071,m=321,a=194,s=866}
{x=1099,m=246,a=767,s=3686}
{x=463,m=1245,a=132,s=180}
{x=2031,m=2121,a=127,s=99}
{x=22,m=384,a=2498,s=1219}
{x=1647,m=1199,a=1182,s=450}
{x=1383,m=1078,a=240,s=1829}
{x=481,m=995,a=475,s=428}
{x=1461,m=1352,a=186,s=246}
{x=871,m=1677,a=41,s=2389}
{x=26,m=3600,a=1,s=2609}
{x=229,m=498,a=633,s=325}
{x=1893,m=314,a=678,s=505}
{x=3819,m=1,a=101,s=734}
{x=1247,m=520,a=564,s=390}
{x=134,m=1176,a=275,s=1027}
{x=873,m=2365,a=667,s=659}
{x=271,m=189,a=332,s=826}
{x=1928,m=972,a=191,s=2033}
{x=403,m=379,a=3351,s=833}
{x=629,m=690,a=486,s=1}
{x=360,m=3135,a=352,s=583}
{x=1066,m=889,a=949,s=402}
{x=1953,m=229,a=1595,s=179}
{x=861,m=2271,a=700,s=20}
{x=9,m=1627,a=81,s=2023}
{x=313,m=1388,a=667,s=1091}
{x=1137,m=1665,a=124,s=626}
{x=1061,m=429,a=54,s=1830}
{x=815,m=51,a=550,s=1247}
{x=124,m=952,a=897,s=1886}
{x=680,m=148,a=2408,s=2}
{x=3132,m=1257,a=1604,s=1052}
{x=698,m=749,a=81,s=59}
{x=2834,m=262,a=1239,s=2597}
{x=191,m=218,a=444,s=53}
{x=1740,m=750,a=46,s=335}
{x=468,m=531,a=2898,s=1772}
{x=655,m=1360,a=2860,s=973}
{x=854,m=529,a=1226,s=550}
{x=486,m=785,a=2418,s=614}
{x=534,m=1710,a=2052,s=594}
{x=116,m=2580,a=27,s=428}
{x=778,m=1090,a=1359,s=1328}
{x=405,m=2739,a=3242,s=2159}
{x=34,m=2314,a=1055,s=857}
{x=1110,m=1263,a=216,s=2526}
{x=1177,m=284,a=1042,s=1597}
{x=251,m=3649,a=1844,s=1427}
{x=872,m=1048,a=1991,s=411}
{x=2299,m=154,a=113,s=2699}
{x=399,m=432,a=939,s=7}
{x=2885,m=756,a=344,s=96}
{x=1945,m=2586,a=1677,s=787}
{x=1497,m=1101,a=1879,s=349}
{x=1066,m=938,a=1124,s=27}
{x=285,m=370,a=2779,s=1235}
{x=210,m=203,a=1392,s=2350}
{x=3118,m=2349,a=342,s=108}
{x=1181,m=668,a=1853,s=2686}
{x=143,m=662,a=404,s=37}
{x=3342,m=2811,a=432,s=630}
{x=539,m=432,a=160,s=465}
{x=378,m=752,a=1528,s=32}
{x=579,m=903,a=1012,s=807}
{x=5,m=606,a=2425,s=2214}
{x=409,m=493,a=1110,s=3168}
{x=1662,m=1930,a=20,s=1684}
{x=49,m=2284,a=528,s=29}
{x=106,m=1201,a=1842,s=572}
{x=2,m=1241,a=489,s=2092}
{x=747,m=774,a=1023,s=51}
{x=766,m=2744,a=1260,s=35}
{x=225,m=85,a=313,s=203}
{x=1065,m=3852,a=3001,s=224}
{x=1080,m=68,a=2236,s=579}
{x=1202,m=709,a=650,s=113}
{x=1368,m=50,a=1621,s=72}
{x=142,m=761,a=557,s=154}
{x=1898,m=77,a=380,s=707}
